ranking_date,strategy_id,ticker,score,portfolio_rank,position_dollars,ranking_status,strategy_rank,portfolio_universe_source,portfolio_universe_date,n_portfolio_universe,n_ranked_in_universe,n_ranked_ignored,n_missing_rankings
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,PSKY,0.2671781,1,250.0,ranked,1.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,NEM,0.17867542,2,249.0,ranked,2.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,VEEV,0.15103818,3,248.01,ranked,3.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,DASH,0.14791184,4,247.01,ranked,4.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,CRL,0.13398437,5,246.02,ranked,5.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,WBD,0.13318522,6,245.02,ranked,6.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,MRNA,0.12671848,7,244.02,ranked,7.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,LH,0.12513592,8,243.03,ranked,8.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,TYL,0.12065854,9,242.03,ranked,9.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,FCX,0.11952183,10,241.04,ranked,10.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,BDX,0.11728435,11,240.04,ranked,11.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,CRM,0.11704751,12,239.04,ranked,12.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,NWSA,0.11550635,13,238.05,ranked,13.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,J,0.11510396,14,237.05,ranked,14.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,A,0.11408984,15,236.06,ranked,15.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,GILD,0.11162558,16,235.06,ranked,16.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,CTSH,0.11040942,17,234.06,ranked,17.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,PLTR,0.10925372,18,233.07,ranked,18.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,NWS,0.10742417,19,232.07,ranked,19.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,PFE,0.10664957,20,231.08,ranked,20.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,BR,0.10642869,21,230.08,ranked,21.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,AMGN,0.10488315,22,229.08,ranked,22.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,IVZ,0.10408056,23,228.09,ranked,23.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,COIN,0.10357277,24,227.09,ranked,24.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,TGT,0.10315624,25,226.1,ranked,25.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,T,0.10008399,26,225.1,ranked,26.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,RVTY,0.09988994,27,224.1,ranked,27.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,NOW,0.09936974,28,223.11,ranked,28.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,NDAQ,0.0988986,29,222.11,ranked,29.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,OMC,0.09863705,30,221.12,ranked,30.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,EXPD,0.09752847,31,220.12,ranked,31.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,EL,0.09750488,32,219.12,ranked,32.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
20260827,20260517__Anthropic__Haiku4_5__LinearNeutral,FDS,0.09728189,33,218.13,ranked,33.0,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260827.txt,20260827,503,495,0,8
