strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__OpenAI__GPT5_5__LinearNeutral,5.564,2418.96,-330.92,0.559,71.15,34
20260517__OpenAI__GPT4o__LinearNeutral,4.924,2472.84,-643.15,0.588,72.73,34
20260517__OpenAI__O3__LinearNeutral,3.48,1615.38,-780.19,0.559,47.51,34
20260517__OpenAI__GPT5_4__LinearNeutral,3.314,1606.59,-455.41,0.559,47.25,34
20260517__Anthropic__Haiku4_5__LinearNeutral,2.923,1891.69,-1322.49,0.529,55.64,34
20260517__Anthropic__Opus4_7__LinearNeutral,2.663,1573.01,-713.85,0.471,46.27,34
20260517__OpenAI__O4_mini__LinearNeutral,2.643,1514.73,-849.8,0.529,44.55,34
20260517__OpenAI__GPT5_4_mini__LinearNeutral,1.378,612.62,-736.2,0.529,18.02,34
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,0.852,481.06,-1437.72,0.559,14.15,34
20260517__Anthropic__Opus4_6__LinearNeutral,-0.247,-152.62,-1406.55,0.382,-4.49,34
20260517__Anthropic__Sonnet4_6__LinearNeutral,-0.81,-588.24,-2097.13,0.382,-17.3,34
20260517__Google__Gemini3_1Pro__LinearNeutral,-1.13,-776.85,-1722.01,0.441,-22.85,34
20260517__Google__Gemini3Flash__LinearNeutral,-1.483,-1014.72,-2105.03,0.441,-29.84,34
20260517__Google__Gemini2_5Pro__LinearNeutral,-2.028,-1435.07,-2679.44,0.382,-42.21,34
