strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__Anthropic__Haiku4_5__LinearNeutral,4.441,1275.69,-620.18,0.619,60.75,21
20260517__OpenAI__GPT5_5__LinearNeutral,4.406,1099.67,-330.92,0.619,52.37,21
20260517__Anthropic__Opus4_8__LinearNeutral,3.822,1385.84,-712.4,0.619,65.99,21
20260517__OpenAI__GPT4o__LinearNeutral,3.378,1047.05,-643.15,0.571,49.86,21
20260517__Anthropic__Opus4_7__LinearNeutral,2.16,717.43,-713.85,0.524,34.16,21
20260517__OpenAI__O4_mini__LinearNeutral,1.293,463.78,-849.8,0.619,22.08,21
20260517__OpenAI__O3__LinearNeutral,1.023,292.67,-780.19,0.476,13.94,21
20260517__OpenAI__GPT5_4__LinearNeutral,0.902,266.34,-455.41,0.524,12.68,21
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,-1.396,-514.22,-1437.72,0.524,-24.49,21
20260517__OpenAI__GPT5_4_mini__LinearNeutral,-1.918,-454.96,-617.14,0.476,-21.66,21
20260517__Anthropic__Opus4_6__LinearNeutral,-3.742,-1208.51,-1349.51,0.333,-57.55,21
20260517__Google__Gemini2_5Flash__LinearNeutral,-3.874,-1361.69,-1672.22,0.381,-64.84,21
20260517__Google__Gemini3_1Pro__LinearNeutral,-3.875,-1477.06,-1722.01,0.381,-70.34,21
20260517__Anthropic__Sonnet4_6__LinearNeutral,-3.986,-1498.23,-1647.72,0.286,-71.34,21
20260517__Google__Gemini3Flash__LinearNeutral,-4.077,-1643.91,-2105.03,0.381,-78.28,21
20260517__Google__Gemini2_5Pro__LinearNeutral,-5.291,-2418.68,-2679.44,0.286,-115.18,21
