strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__OpenAI__GPT5_5__LinearNeutral,5.066,865.2,-235.97,0.625,54.07,16
20260517__Anthropic__Haiku4_5__LinearNeutral,5.014,1077.5,-620.18,0.625,67.34,16
20260517__OpenAI__GPT4o__LinearNeutral,2.976,703.68,-643.15,0.562,43.98,16
20260517__OpenAI__O3__LinearNeutral,2.625,568.79,-495.05,0.5,35.55,16
20260517__Anthropic__Opus4_8__LinearNeutral,2.346,673.93,-712.4,0.562,42.12,16
20260517__Anthropic__Opus4_7__LinearNeutral,1.475,390.1,-713.85,0.5,24.38,16
20260517__OpenAI__O4_mini__LinearNeutral,0.391,111.28,-849.8,0.562,6.95,16
20260517__OpenAI__GPT5_4__LinearNeutral,0.367,83.74,-455.41,0.438,5.23,16
20260517__OpenAI__GPT5_4_mini__LinearNeutral,-1.067,-194.97,-606.1,0.438,-12.19,16
20260517__Anthropic__Sonnet4_6__LinearNeutral,-2.009,-599.39,-1142.01,0.312,-37.46,16
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,-2.665,-789.66,-1437.72,0.438,-49.35,16
20260517__Anthropic__Opus4_6__LinearNeutral,-2.779,-717.38,-1050.09,0.375,-44.84,16
20260517__Google__Gemini2_5Flash__LinearNeutral,-5.036,-1386.16,-1672.22,0.375,-86.64,16
20260517__Google__Gemini2_5Pro__LinearNeutral,-5.117,-1924.77,-2679.44,0.25,-120.3,16
20260517__Google__Gemini3Flash__LinearNeutral,-5.342,-1674.25,-2105.03,0.375,-104.64,16
20260517__Google__Gemini3_1Pro__LinearNeutral,-5.469,-1599.56,-1722.01,0.375,-99.97,16
