strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__OpenAI__GPT5_4__LinearNeutral,3.124,3853.6,-906.35,0.603,56.67,68
20260517__OpenAI__GPT5_5__LinearNeutral,2.898,3420.99,-1078.98,0.618,50.31,68
20260517__Anthropic__Opus4_8__LinearNeutral,2.537,3416.06,-1017.43,0.574,50.24,68
20260517__OpenAI__O3__LinearNeutral,2.355,3472.16,-1325.56,0.559,51.06,68
20260517__Anthropic__Opus4_6__LinearNeutral,1.921,3379.93,-1406.55,0.5,49.7,68
20260517__Anthropic__Sonnet4_6__LinearNeutral,1.901,4126.68,-2097.13,0.485,60.69,68
20260517__OpenAI__GPT5_4_mini__LinearNeutral,1.562,1681.88,-746.21,0.574,24.73,68
20260517__Google__Gemini3_1Pro__LinearNeutral,1.484,2876.28,-1908.14,0.515,42.3,68
20260517__OpenAI__GPT4o__LinearNeutral,1.475,1930.09,-1576.6,0.603,28.38,68
20260517__Google__Gemini2_5Flash__LinearNeutral,1.273,2076.67,-1706.59,0.515,30.54,68
20260517__Google__Gemini3Flash__LinearNeutral,1.006,1713.52,-2808.14,0.485,25.2,68
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,0.865,1233.7,-1600.96,0.529,18.14,68
20260517__Anthropic__Opus4_7__LinearNeutral,0.685,1029.51,-1658.8,0.529,15.14,68
20260517__Google__Gemini2_5Pro__LinearNeutral,0.437,767.1,-2679.44,0.471,11.28,68
20260517__OpenAI__O4_mini__LinearNeutral,0.378,543.36,-1705.71,0.529,7.99,68
20260517__Anthropic__Haiku4_5__LinearNeutral,-0.715,-1148.12,-4362.3,0.5,-16.88,68
