strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__Anthropic__Haiku4_5__LinearNeutral,6.336,3214.18,-620.18,0.643,114.79,28
20260517__OpenAI__GPT5_5__LinearNeutral,5.952,2257.4,-330.92,0.571,80.62,28
20260517__OpenAI__GPT4o__LinearNeutral,5.207,2285.46,-643.15,0.607,81.62,28
20260517__Anthropic__Opus4_8__LinearNeutral,4.277,2168.47,-712.4,0.643,77.45,28
20260517__Anthropic__Opus4_7__LinearNeutral,3.01,1532.14,-713.85,0.536,54.72,28
20260517__OpenAI__O4_mini__LinearNeutral,2.513,1273.49,-849.8,0.571,45.48,28
20260517__OpenAI__O3__LinearNeutral,2.179,852.28,-780.19,0.5,30.44,28
20260517__OpenAI__GPT5_4__LinearNeutral,1.933,814.49,-455.41,0.536,29.09,28
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,0.084,42.43,-1437.72,0.536,1.52,28
20260517__OpenAI__GPT5_4_mini__LinearNeutral,-0.886,-324.82,-736.2,0.5,-11.6,28
20260517__Anthropic__Opus4_6__LinearNeutral,-2.116,-1073.04,-1406.55,0.357,-38.32,28
20260517__Google__Gemini3_1Pro__LinearNeutral,-2.375,-1419.22,-1722.01,0.429,-50.69,28
20260517__Google__Gemini2_5Flash__LinearNeutral,-2.548,-1467.57,-1672.22,0.429,-52.41,28
20260517__Google__Gemini3Flash__LinearNeutral,-3.053,-1801.93,-2105.03,0.393,-64.35,28
20260517__Google__Gemini2_5Pro__LinearNeutral,-3.141,-1919.36,-2679.44,0.357,-68.55,28
20260517__Anthropic__Sonnet4_6__LinearNeutral,-3.4,-1947.64,-2097.13,0.321,-69.56,28
