strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__OpenAI__GPT5_5__LinearNeutral,5.827,2291.82,-330.92,0.6,76.39,30
20260517__Anthropic__Haiku4_5__LinearNeutral,5.392,2911.07,-620.18,0.6,97.04,30
20260517__OpenAI__GPT4o__LinearNeutral,4.92,2246.69,-643.15,0.6,74.89,30
20260517__Anthropic__Opus4_7__LinearNeutral,2.676,1417.29,-713.85,0.5,47.24,30
20260517__OpenAI__O3__LinearNeutral,2.296,928.74,-780.19,0.533,30.96,30
20260517__OpenAI__O4_mini__LinearNeutral,2.283,1200.34,-849.8,0.533,40.01,30
20260517__OpenAI__GPT5_4__LinearNeutral,2.251,989.19,-455.41,0.533,32.97,30
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,0.252,132.94,-1437.72,0.533,4.43,30
20260517__OpenAI__GPT5_4_mini__LinearNeutral,-0.555,-211.98,-736.2,0.5,-7.07,30
20260517__Google__Gemini3_1Pro__LinearNeutral,-1.985,-1237.1,-1722.01,0.433,-41.24,30
20260517__Anthropic__Opus4_6__LinearNeutral,-2.03,-1065.34,-1406.55,0.367,-35.51,30
20260517__Google__Gemini3Flash__LinearNeutral,-2.644,-1624.88,-2105.03,0.433,-54.16,30
20260517__Anthropic__Sonnet4_6__LinearNeutral,-2.922,-1749.69,-2097.13,0.367,-58.32,30
20260517__Google__Gemini2_5Pro__LinearNeutral,-3.033,-1929.45,-2679.44,0.367,-64.31,30
