strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__OpenAI__GPT5_5__LinearNeutral,5.568,790.53,-235.97,0.667,65.88,12
20260517__OpenAI__O3__LinearNeutral,4.558,752.83,-495.05,0.583,62.74,12
20260517__Anthropic__Haiku4_5__LinearNeutral,4.372,794.34,-620.18,0.667,66.2,12
20260517__OpenAI__GPT4o__LinearNeutral,2.199,408.61,-643.15,0.583,34.05,12
20260517__Anthropic__Opus4_8__LinearNeutral,1.734,382.66,-712.4,0.5,31.89,12
20260517__OpenAI__GPT5_4__LinearNeutral,1.312,217.49,-455.41,0.5,18.12,12
20260517__OpenAI__GPT5_4_mini__LinearNeutral,-0.304,-41.63,-606.1,0.5,-3.47,12
20260517__Anthropic__Opus4_7__LinearNeutral,-1.347,-237.14,-713.85,0.417,-19.76,12
20260517__OpenAI__O4_mini__LinearNeutral,-1.372,-265.97,-849.8,0.5,-22.16,12
20260517__Anthropic__Sonnet4_6__LinearNeutral,-4.059,-911.14,-1142.01,0.333,-75.93,12
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,-4.435,-972.26,-1437.72,0.417,-81.02,12
20260517__Anthropic__Opus4_6__LinearNeutral,-5.627,-909.09,-1050.09,0.333,-75.76,12
20260517__Google__Gemini3_1Pro__LinearNeutral,-8.374,-1634.0,-1718.39,0.333,-136.17,12
20260517__Google__Gemini2_5Flash__LinearNeutral,-8.761,-1608.74,-1672.22,0.333,-134.06,12
20260517__Google__Gemini2_5Pro__LinearNeutral,-12.807,-2700.79,-2679.44,0.083,-225.07,12
20260517__Google__Gemini3Flash__LinearNeutral,-13.511,-2013.06,-2049.49,0.333,-167.76,12
