strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__OpenAI__O3__LinearNeutral,3.44,7621.47,-1325.56,0.598,65.14,117
20260517__Anthropic__Sonnet4_6__LinearNeutral,3.322,10708.34,-2097.13,0.573,91.52,117
20260517__Anthropic__Opus4_6__LinearNeutral,3.014,8058.9,-1406.55,0.573,68.88,117
20260517__OpenAI__GPT5_5__LinearNeutral,2.558,5475.87,-1705.99,0.624,46.8,117
20260517__OpenAI__GPT5_4__LinearNeutral,2.554,5378.46,-1262.96,0.573,45.97,117
20260517__OpenAI__GPT5_4_mini__LinearNeutral,2.047,3563.25,-1033.53,0.581,30.46,117
20260517__Anthropic__Opus4_8__LinearNeutral,1.963,4826.5,-1654.33,0.564,41.25,117
20260517__Google__Gemini2_5Flash__LinearNeutral,1.914,5295.09,-1706.59,0.53,45.26,117
20260517__Google__Gemini3_1Pro__LinearNeutral,1.902,6019.48,-1908.14,0.521,51.45,117
20260517__Google__Gemini2_5Pro__LinearNeutral,1.702,4564.39,-2679.44,0.547,39.01,117
20260517__OpenAI__GPT4o__LinearNeutral,1.577,3483.04,-1813.69,0.641,29.77,117
20260517__Google__Gemini3Flash__LinearNeutral,1.563,4346.84,-2808.14,0.513,37.15,117
20260517__Anthropic__Opus4_7__LinearNeutral,1.022,2684.55,-1909.72,0.556,22.94,117
20260517__OpenAI__O4_mini__LinearNeutral,0.747,1838.72,-1996.63,0.581,15.72,117
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,0.33,788.53,-1977.01,0.53,6.74,117
20260517__Anthropic__Haiku4_5__LinearNeutral,-1.161,-2974.93,-6712.92,0.47,-25.43,117
