strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__Anthropic__Sonnet4_6__LinearNeutral,3.278,9150.31,-2097.13,0.553,97.34,94
20260517__OpenAI__GPT5_4__LinearNeutral,3.274,5933.07,-1262.96,0.617,63.12,94
20260517__OpenAI__O3__LinearNeutral,3.033,5860.44,-1325.56,0.574,62.35,94
20260517__Anthropic__Opus4_6__LinearNeutral,2.863,6677.53,-1406.55,0.543,71.04,94
20260517__OpenAI__GPT5_5__LinearNeutral,2.797,5085.62,-1705.99,0.617,54.1,94
20260517__Anthropic__Opus4_8__LinearNeutral,2.614,5465.3,-1654.33,0.574,58.14,94
20260517__OpenAI__GPT5_4_mini__LinearNeutral,2.438,3685.08,-1033.53,0.596,39.2,94
20260517__Google__Gemini2_5Flash__LinearNeutral,2.183,5209.71,-1706.59,0.553,55.42,94
20260517__Google__Gemini3_1Pro__LinearNeutral,2.153,5872.13,-1908.14,0.543,62.47,94
20260517__Google__Gemini3Flash__LinearNeutral,1.858,4470.27,-2808.14,0.521,47.56,94
20260517__Google__Gemini2_5Pro__LinearNeutral,1.635,3698.31,-2679.44,0.532,39.34,94
20260517__OpenAI__GPT4o__LinearNeutral,1.464,2811.67,-1813.69,0.617,29.91,94
20260517__Anthropic__Opus4_7__LinearNeutral,1.123,2541.03,-1909.72,0.564,27.03,94
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,1.03,2117.45,-1600.96,0.553,22.53,94
20260517__OpenAI__O4_mini__LinearNeutral,0.776,1654.35,-1996.63,0.574,17.6,94
20260517__Anthropic__Haiku4_5__LinearNeutral,-1.584,-3492.0,-6712.92,0.468,-37.15,94
