strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__Anthropic__Sonnet4_6__LinearNeutral,3.363,10142.13,-2097.13,0.583,93.91,108
20260517__OpenAI__O3__LinearNeutral,3.349,7083.48,-1325.56,0.593,65.59,108
20260517__OpenAI__GPT5_4__LinearNeutral,3.014,5959.97,-1262.96,0.602,55.18,108
20260517__Anthropic__Opus4_6__LinearNeutral,2.877,7309.27,-1406.55,0.565,67.68,108
20260517__OpenAI__GPT5_5__LinearNeutral,2.866,5675.53,-1705.99,0.611,52.55,108
20260517__Anthropic__Opus4_8__LinearNeutral,2.404,5481.92,-1654.33,0.565,50.76,108
20260517__OpenAI__GPT5_4_mini__LinearNeutral,2.272,3740.36,-1033.53,0.593,34.63,108
20260517__Google__Gemini3_1Pro__LinearNeutral,2.181,6492.94,-1908.14,0.537,60.12,108
20260517__Google__Gemini2_5Flash__LinearNeutral,2.13,5563.5,-1706.59,0.546,51.51,108
20260517__Google__Gemini3Flash__LinearNeutral,1.711,4511.23,-2808.14,0.519,41.77,108
20260517__Google__Gemini2_5Pro__LinearNeutral,1.701,4176.47,-2679.44,0.546,38.67,108
20260517__OpenAI__GPT4o__LinearNeutral,1.636,3411.01,-1813.69,0.63,31.58,108
20260517__Anthropic__Opus4_7__LinearNeutral,1.076,2658.93,-1909.72,0.556,24.62,108
20260517__OpenAI__O4_mini__LinearNeutral,0.823,1905.68,-1996.63,0.574,17.65,108
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,0.797,1789.84,-1600.96,0.546,16.57,108
20260517__Anthropic__Haiku4_5__LinearNeutral,-1.395,-3384.42,-6712.92,0.463,-31.34,108
