strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__OpenAI__GPT5_4__LinearNeutral,4.084,5745.78,-906.35,0.636,74.62,77
20260517__OpenAI__GPT5_5__LinearNeutral,3.74,4921.24,-1078.98,0.636,63.91,77
20260517__Anthropic__Opus4_8__LinearNeutral,3.44,5170.1,-1017.43,0.597,67.14,77
20260517__OpenAI__O3__LinearNeutral,2.805,4499.66,-1325.56,0.584,58.44,77
20260517__OpenAI__GPT5_4_mini__LinearNeutral,2.614,3160.41,-746.21,0.597,41.04,77
20260517__Anthropic__Opus4_6__LinearNeutral,2.565,4918.08,-1406.55,0.532,63.87,77
20260517__Anthropic__Sonnet4_6__LinearNeutral,2.513,5935.83,-2097.13,0.532,77.09,77
20260517__Google__Gemini3_1Pro__LinearNeutral,2.34,5065.17,-1908.14,0.545,65.78,77
20260517__Google__Gemini2_5Flash__LinearNeutral,2.338,4278.56,-1706.59,0.545,55.57,77
20260517__OpenAI__GPT4o__LinearNeutral,2.177,3086.27,-1576.6,0.636,40.08,77
20260517__Google__Gemini3Flash__LinearNeutral,2.133,4052.01,-2808.14,0.519,52.62,77
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,1.512,2596.57,-1600.96,0.558,33.72,77
20260517__Anthropic__Opus4_7__LinearNeutral,1.507,2483.57,-1658.8,0.558,32.25,77
20260517__Google__Gemini2_5Pro__LinearNeutral,1.22,2344.46,-2679.44,0.519,30.45,77
20260517__OpenAI__O4_mini__LinearNeutral,1.172,1836.85,-1705.71,0.571,23.86,77
20260517__Anthropic__Haiku4_5__LinearNeutral,-1.087,-1943.75,-5387.27,0.494,-25.24,77
