strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__OpenAI__GPT5_5__LinearNeutral,5.372,2176.67,-330.92,0.581,70.22,31
20260517__OpenAI__GPT4o__LinearNeutral,4.469,2101.86,-643.15,0.581,67.8,31
20260517__Anthropic__Haiku4_5__LinearNeutral,3.966,2356.75,-857.43,0.581,76.02,31
20260517__OpenAI__GPT5_4__LinearNeutral,2.751,1247.04,-455.41,0.548,40.23,31
20260517__OpenAI__O3__LinearNeutral,2.695,1117.85,-780.19,0.548,36.06,31
20260517__Anthropic__Opus4_7__LinearNeutral,2.147,1175.72,-713.85,0.484,37.93,31
20260517__OpenAI__O4_mini__LinearNeutral,2.073,1111.42,-849.8,0.516,35.85,31
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,0.467,250.45,-1437.72,0.548,8.08,31
20260517__OpenAI__GPT5_4_mini__LinearNeutral,0.291,118.09,-736.2,0.516,3.81,31
20260517__Anthropic__Opus4_6__LinearNeutral,-1.339,-734.34,-1406.55,0.387,-23.69,31
20260517__Google__Gemini3_1Pro__LinearNeutral,-1.561,-999.96,-1722.01,0.452,-32.26,31
20260517__Anthropic__Sonnet4_6__LinearNeutral,-1.817,-1176.64,-2097.13,0.387,-37.96,31
20260517__Google__Gemini3Flash__LinearNeutral,-2.117,-1344.85,-2105.03,0.452,-43.38,31
20260517__Google__Gemini2_5Pro__LinearNeutral,-2.49,-1638.4,-2679.44,0.387,-52.85,31
