strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__OpenAI__GPT5_5__LinearNeutral,5.142,2127.09,-330.92,0.562,66.47,32
20260517__OpenAI__GPT4o__LinearNeutral,4.484,2142.02,-643.15,0.594,66.94,32
20260517__Anthropic__Haiku4_5__LinearNeutral,3.778,2287.82,-926.36,0.562,71.49,32
20260517__OpenAI__GPT5_4__LinearNeutral,2.815,1295.81,-455.41,0.562,40.49,32
20260517__OpenAI__O3__LinearNeutral,2.689,1132.8,-780.19,0.562,35.4,32
20260517__OpenAI__O4_mini__LinearNeutral,2.126,1157.16,-849.8,0.531,36.16,32
20260517__Anthropic__Opus4_7__LinearNeutral,2.067,1150.29,-713.85,0.469,35.95,32
20260517__OpenAI__GPT5_4_mini__LinearNeutral,0.66,274.15,-736.2,0.531,8.57,32
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,0.569,310.34,-1437.72,0.562,9.7,32
20260517__Anthropic__Opus4_6__LinearNeutral,-1.372,-764.13,-1406.55,0.375,-23.88,32
20260517__Google__Gemini3_1Pro__LinearNeutral,-1.76,-1147.09,-1722.01,0.438,-35.85,32
20260517__Anthropic__Sonnet4_6__LinearNeutral,-1.915,-1259.66,-2097.13,0.375,-39.36,32
20260517__Google__Gemini3Flash__LinearNeutral,-2.191,-1413.64,-2105.03,0.438,-44.18,32
20260517__Google__Gemini2_5Pro__LinearNeutral,-2.703,-1810.18,-2679.44,0.375,-56.57,32
