strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__Anthropic__Sonnet4_6__LinearNeutral,3.245,9212.73,-2097.13,0.557,94.98,97
20260517__OpenAI__O3__LinearNeutral,3.193,6291.96,-1325.56,0.577,64.87,97
20260517__OpenAI__GPT5_4__LinearNeutral,3.188,5876.46,-1262.96,0.608,60.58,97
20260517__Anthropic__Opus4_6__LinearNeutral,2.815,6675.79,-1406.55,0.546,68.82,97
20260517__OpenAI__GPT5_5__LinearNeutral,2.74,5063.7,-1705.99,0.598,52.2,97
20260517__Anthropic__Opus4_8__LinearNeutral,2.44,5200.96,-1654.33,0.557,53.62,97
20260517__OpenAI__GPT5_4_mini__LinearNeutral,2.406,3697.85,-1033.53,0.588,38.12,97
20260517__Google__Gemini3_1Pro__LinearNeutral,2.045,5680.88,-1908.14,0.536,58.57,97
20260517__Google__Gemini2_5Flash__LinearNeutral,1.989,4839.07,-1706.59,0.536,49.89,97
20260517__Google__Gemini2_5Pro__LinearNeutral,1.59,3661.23,-2679.44,0.536,37.74,97
20260517__Google__Gemini3Flash__LinearNeutral,1.571,3866.96,-2808.14,0.505,39.87,97
20260517__OpenAI__GPT4o__LinearNeutral,1.551,3027.7,-1813.69,0.619,31.21,97
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,0.989,2068.53,-1600.96,0.557,21.33,97
20260517__Anthropic__Opus4_7__LinearNeutral,0.939,2166.09,-1909.72,0.557,22.33,97
20260517__OpenAI__O4_mini__LinearNeutral,0.735,1596.62,-1996.63,0.567,16.46,97
20260517__Anthropic__Haiku4_5__LinearNeutral,-1.331,-3013.74,-6712.92,0.474,-31.07,97
