strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__OpenAI__GPT5_5__LinearNeutral,5.269,2634.8,-330.92,0.6,65.87,40
20260517__OpenAI__O3__LinearNeutral,4.923,2593.65,-780.19,0.625,64.84,40
20260517__OpenAI__GPT4o__LinearNeutral,4.456,2487.05,-643.15,0.6,62.18,40
20260517__Anthropic__Haiku4_5__LinearNeutral,3.627,2650.59,-1524.79,0.575,66.26,40
20260517__OpenAI__GPT5_4__LinearNeutral,2.717,1497.68,-455.41,0.55,37.44,40
20260517__Anthropic__Opus4_7__LinearNeutral,0.912,640.16,-1135.46,0.45,16.0,40
20260517__OpenAI__O4_mini__LinearNeutral,0.813,537.55,-977.18,0.45,13.44,40
20260517__OpenAI__GPT5_4_mini__LinearNeutral,0.634,318.56,-736.2,0.525,7.96,40
20260517__Anthropic__Opus4_6__LinearNeutral,0.165,113.58,-1406.55,0.425,2.84,40
20260517__Anthropic__Sonnet4_6__LinearNeutral,-0.382,-313.03,-2097.13,0.425,-7.83,40
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,-1.664,-1119.9,-1600.96,0.475,-28.0,40
20260517__Google__Gemini2_5Flash__LinearNeutral,-2.129,-1690.81,-1706.59,0.425,-42.27,40
20260517__Google__Gemini2_5Pro__LinearNeutral,-2.131,-1732.75,-2679.44,0.425,-43.32,40
20260517__Google__Gemini3_1Pro__LinearNeutral,-2.349,-1885.1,-1908.14,0.425,-47.13,40
20260517__Google__Gemini3Flash__LinearNeutral,-3.417,-2806.89,-2808.14,0.4,-70.17,40
