strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__Anthropic__Haiku4_5__LinearNeutral,5.91,3087.38,-620.18,0.621,106.46,29
20260517__OpenAI__GPT5_5__LinearNeutral,5.865,2266.64,-330.92,0.586,78.16,29
20260517__OpenAI__GPT4o__LinearNeutral,4.967,2229.25,-643.15,0.586,76.87,29
20260517__Anthropic__Opus4_7__LinearNeutral,2.943,1525.12,-713.85,0.517,52.59,29
20260517__OpenAI__O4_mini__LinearNeutral,2.322,1200.53,-849.8,0.552,41.4,29
20260517__OpenAI__O3__LinearNeutral,2.176,865.87,-780.19,0.517,29.86,29
20260517__OpenAI__GPT5_4__LinearNeutral,1.861,797.92,-455.41,0.517,27.51,29
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,-0.018,-9.45,-1437.72,0.517,-0.33,29
20260517__OpenAI__GPT5_4_mini__LinearNeutral,-0.91,-339.16,-736.2,0.483,-11.7,29
20260517__Anthropic__Opus4_6__LinearNeutral,-2.01,-1037.72,-1406.55,0.379,-35.78,29
20260517__Google__Gemini3_1Pro__LinearNeutral,-2.338,-1421.42,-1722.01,0.414,-49.01,29
20260517__Google__Gemini2_5Flash__LinearNeutral,-2.379,-1397.38,-1672.22,0.448,-48.19,29
20260517__Google__Gemini2_5Pro__LinearNeutral,-2.861,-1788.81,-2679.44,0.379,-61.68,29
20260517__Google__Gemini3Flash__LinearNeutral,-2.88,-1733.31,-2105.03,0.414,-59.77,29
20260517__Anthropic__Sonnet4_6__LinearNeutral,-3.014,-1773.12,-2097.13,0.345,-61.14,29
