strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__OpenAI__O3__LinearNeutral,3.315,7272.87,-1325.56,0.591,63.24,115
20260517__Anthropic__Sonnet4_6__LinearNeutral,3.302,10530.04,-2097.13,0.574,91.57,115
20260517__Anthropic__Opus4_6__LinearNeutral,2.913,7706.67,-1406.55,0.565,67.01,115
20260517__OpenAI__GPT5_4__LinearNeutral,2.656,5535.78,-1262.96,0.583,48.14,115
20260517__OpenAI__GPT5_5__LinearNeutral,2.529,5367.14,-1705.99,0.617,46.67,115
20260517__Anthropic__Opus4_8__LinearNeutral,2.044,4973.04,-1654.33,0.565,43.24,115
20260517__OpenAI__GPT5_4_mini__LinearNeutral,1.996,3442.39,-1033.53,0.574,29.93,115
20260517__Google__Gemini3_1Pro__LinearNeutral,1.983,6201.95,-1908.14,0.522,53.93,115
20260517__Google__Gemini2_5Flash__LinearNeutral,1.963,5366.05,-1706.59,0.53,46.66,115
20260517__Google__Gemini2_5Pro__LinearNeutral,1.812,4777.79,-2679.44,0.548,41.55,115
20260517__Google__Gemini3Flash__LinearNeutral,1.637,4495.82,-2808.14,0.513,39.09,115
20260517__OpenAI__GPT4o__LinearNeutral,1.488,3256.03,-1813.69,0.635,28.31,115
20260517__Anthropic__Opus4_7__LinearNeutral,0.956,2485.25,-1909.72,0.557,21.61,115
20260517__OpenAI__O4_mini__LinearNeutral,0.678,1653.58,-1996.63,0.574,14.38,115
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,0.483,1142.0,-1623.54,0.539,9.93,115
20260517__Anthropic__Haiku4_5__LinearNeutral,-1.209,-3067.78,-6712.92,0.47,-26.68,115
