strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__OpenAI__O3__LinearNeutral,5.054,793.53,-495.05,0.636,72.14,11
20260517__OpenAI__GPT5_5__LinearNeutral,5.01,682.08,-235.97,0.636,62.01,11
20260517__Anthropic__Haiku4_5__LinearNeutral,4.464,778.18,-620.18,0.636,70.74,11
20260517__OpenAI__GPT4o__LinearNeutral,1.417,249.96,-643.15,0.545,22.72,11
20260517__Anthropic__Opus4_8__LinearNeutral,0.731,151.38,-712.4,0.455,13.76,11
20260517__OpenAI__GPT5_4__LinearNeutral,0.509,79.98,-455.41,0.455,7.27,11
20260517__OpenAI__GPT5_4_mini__LinearNeutral,-0.064,-8.44,-606.1,0.545,-0.77,11
20260517__Anthropic__Opus4_7__LinearNeutral,-2.101,-349.84,-713.85,0.364,-31.8,11
20260517__OpenAI__O4_mini__LinearNeutral,-2.166,-396.73,-849.8,0.455,-36.07,11
20260517__Anthropic__Sonnet4_6__LinearNeutral,-3.424,-734.72,-1142.01,0.364,-66.79,11
20260517__Anthropic__Opus4_6__LinearNeutral,-5.049,-782.02,-1011.28,0.364,-71.09,11
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,-5.646,-1144.22,-1437.72,0.364,-104.02,11
20260517__Google__Gemini3_1Pro__LinearNeutral,-9.312,-1695.35,-1718.39,0.273,-154.12,11
20260517__Google__Gemini2_5Flash__LinearNeutral,-9.655,-1656.44,-1672.22,0.273,-150.59,11
20260517__Google__Gemini2_5Pro__LinearNeutral,-13.315,-2648.06,-2626.71,0.091,-240.73,11
20260517__Google__Gemini3Flash__LinearNeutral,-15.115,-2048.24,-2049.49,0.273,-186.2,11
