strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__OpenAI__GPT5_5__LinearNeutral,5.451,1196.94,-330.92,0.632,63.0,19
20260517__OpenAI__GPT4o__LinearNeutral,4.245,1177.11,-643.15,0.579,61.95,19
20260517__Anthropic__Haiku4_5__LinearNeutral,4.137,1117.44,-620.18,0.632,58.81,19
20260517__Anthropic__Opus4_7__LinearNeutral,2.86,877.81,-713.85,0.526,46.2,19
20260517__OpenAI__GPT5_4__LinearNeutral,2.207,579.64,-455.41,0.526,30.51,19
20260517__OpenAI__O4_mini__LinearNeutral,2.186,711.6,-849.8,0.632,37.45,19
20260517__OpenAI__O3__LinearNeutral,1.946,516.67,-780.19,0.526,27.19,19
20260517__OpenAI__GPT5_4_mini__LinearNeutral,-0.032,-6.62,-606.1,0.526,-0.35,19
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,-0.606,-206.67,-1437.72,0.526,-10.88,19
20260517__Anthropic__Opus4_6__LinearNeutral,-2.378,-706.39,-1104.07,0.368,-37.18,19
20260517__Anthropic__Sonnet4_6__LinearNeutral,-3.147,-1110.83,-1260.32,0.316,-58.46,19
20260517__Google__Gemini3Flash__LinearNeutral,-3.242,-1226.62,-2105.03,0.421,-64.56,19
20260517__Google__Gemini3_1Pro__LinearNeutral,-3.405,-1224.56,-1722.01,0.421,-64.45,19
20260517__Google__Gemini2_5Pro__LinearNeutral,-4.821,-2088.73,-2679.44,0.316,-109.93,19
