strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__Anthropic__Haiku4_5__LinearNeutral,5.279,1606.83,-620.18,0.636,73.04,22
20260517__OpenAI__GPT5_5__LinearNeutral,5.004,1293.93,-330.92,0.636,58.82,22
20260517__OpenAI__GPT4o__LinearNeutral,3.666,1163.79,-643.15,0.591,52.9,22
20260517__Anthropic__Opus4_7__LinearNeutral,2.324,789.4,-713.85,0.545,35.88,22
20260517__OpenAI__O3__LinearNeutral,1.273,373.11,-780.19,0.5,16.96,22
20260517__OpenAI__O4_mini__LinearNeutral,1.239,454.66,-849.8,0.591,20.67,22
20260517__OpenAI__GPT5_4__LinearNeutral,0.54,164.17,-455.41,0.5,7.46,22
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,-1.888,-718.08,-1437.72,0.5,-32.64,22
20260517__OpenAI__GPT5_4_mini__LinearNeutral,-2.35,-574.02,-736.2,0.455,-26.09,22
20260517__Anthropic__Opus4_6__LinearNeutral,-3.8,-1254.7,-1395.7,0.318,-57.03,22
20260517__Google__Gemini3_1Pro__LinearNeutral,-4.135,-1613.48,-1722.01,0.364,-73.34,22
20260517__Anthropic__Sonnet4_6__LinearNeutral,-4.138,-1590.16,-1739.65,0.273,-72.28,22
20260517__Google__Gemini3Flash__LinearNeutral,-4.34,-1791.01,-2105.03,0.364,-81.41,22
20260517__Google__Gemini2_5Pro__LinearNeutral,-5.123,-2402.35,-2679.44,0.318,-109.2,22
