strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__Anthropic__Haiku4_5__LinearNeutral,14.972,675.22,0.0,0.667,225.07,3
20260517__OpenAI__GPT5_5__LinearNeutral,13.983,676.56,0.0,1.0,225.52,3
20260517__OpenAI__GPT4o__LinearNeutral,11.959,687.58,-34.37,0.667,229.19,3
20260517__OpenAI__O3__LinearNeutral,10.826,454.15,0.0,0.667,151.38,3
20260517__OpenAI__O4_mini__LinearNeutral,6.703,441.22,-138.52,0.667,147.07,3
20260517__OpenAI__GPT5_4__LinearNeutral,6.484,307.37,-103.11,0.667,102.46,3
20260517__OpenAI__GPT5_4_mini__LinearNeutral,2.788,144.86,-117.62,0.333,48.29,3
20260517__Anthropic__Sonnet4_6__LinearNeutral,2.049,163.37,-92.08,0.333,54.46,3
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,-0.118,-7.95,-273.27,0.333,-2.65,3
20260517__Google__Gemini3Flash__LinearNeutral,-2.992,-151.65,-284.15,0.333,-50.55,3
20260517__Anthropic__Opus4_6__LinearNeutral,-6.056,-77.94,-127.51,0.333,-25.98,3
20260517__Google__Gemini3_1Pro__LinearNeutral,-6.056,-77.94,-127.51,0.333,-25.98,3
